,Country,Admin1,Admin2,Month,Year,Events,Fatalities
1,Palestine,Gaza Strip,Gaza City,1,2020,4,0
2,Palestine,Gaza Strip,North Gaza,1,2020,9,0
3,Palestine,West Bank,Tubas,1,2020,3,0
4,Palestine,West Bank,Tulkarm,1,2020,0,0
5,Palestine,Gaza Strip,Khan Yunis,1,2020,11,0
6,Palestine,West Bank,Hebron,1,2020,33,0
7,Palestine,Gaza Strip,Rafah,1,2020,4,0
8,Palestine,West Bank,Bethlehem,1,2020,10,0
9,Palestine,West Bank,Salfit,1,2020,3,0
10,Palestine,Gaza Strip,Deir El Balah,1,2020,8,3
11,Palestine,West Bank,Nablus,1,2020,18,0
12,Palestine,West Bank,Ramallah and Al Bireh,1,2020,24,0
13,Palestine,West Bank,Jenin,1,2020,4,0
14,Palestine,West Bank,Qalqilya,1,2020,20,0
15,Palestine,West Bank,Al Quds,1,2020,29,0
16,Palestine,West Bank,Jericho,1,2020,2,0
17,Palestine,Gaza Strip,Gaza City,2,2020,9,0
18,Palestine,Gaza Strip,North Gaza,2,2020,10,0
19,Palestine,West Bank,Tubas,2,2020,5,0
20,Palestine,West Bank,Tulkarm,2,2020,5,1
21,Palestine,Gaza Strip,Khan Yunis,2,2020,15,2
22,Palestine,West Bank,Hebron,2,2020,29,0
23,Palestine,Gaza Strip,Rafah,2,2020,5,0
24,Palestine,West Bank,Bethlehem,2,2020,21,0
25,Palestine,West Bank,Salfit,2,2020,3,0
26,Palestine,Gaza Strip,Deir El Balah,2,2020,11,0
27,Palestine,West Bank,Nablus,2,2020,10,0
28,Palestine,West Bank,Ramallah and Al Bireh,2,2020,39,0
29,Palestine,West Bank,Jenin,2,2020,13,4
30,Palestine,West Bank,Qalqilya,2,2020,21,0
31,Palestine,West Bank,Al Quds,2,2020,29,2
32,Palestine,West Bank,Jericho,2,2020,5,0
33,Palestine,Gaza Strip,Gaza City,3,2020,0,0
34,Palestine,Gaza Strip,North Gaza,3,2020,8,0
35,Palestine,West Bank,Tubas,3,2020,2,0
36,Palestine,West Bank,Tulkarm,3,2020,18,0
37,Palestine,Gaza Strip,Khan Yunis,3,2020,0,0
38,Palestine,West Bank,Hebron,3,2020,30,0
39,Palestine,Gaza Strip,Rafah,3,2020,0,0
40,Palestine,West Bank,Bethlehem,3,2020,10,0
41,Palestine,West Bank,Salfit,3,2020,6,0
42,Palestine,Gaza Strip,Deir El Balah,3,2020,1,0
43,Palestine,West Bank,Nablus,3,2020,30,1
44,Palestine,West Bank,Ramallah and Al Bireh,3,2020,34,1
45,Palestine,West Bank,Jenin,3,2020,8,0
46,Palestine,West Bank,Qalqilya,3,2020,20,0
47,Palestine,West Bank,Al Quds,3,2020,46,0
48,Palestine,West Bank,Jericho,3,2020,0,0
49,Palestine,Gaza Strip,Gaza City,4,2020,2,0
50,Palestine,Gaza Strip,North Gaza,4,2020,4,0
51,Palestine,West Bank,Tubas,4,2020,2,0
